State,education,"covidDeathRateper100,000"
ALABAMA,27.4,152.8
ALASKA,32.8,109.5
ARIZONA,32.4,139.5
ARKANSAS,25.3,127.7
CALIFORNIA,36.2,99.9
COLORADO,44.4,84.2
CONNECTICUT,42.1,56.7
DELAWARE,35.6,83.2
DISTRICT OF COLUMBIA,63,111.7
FLORIDA,33.2,135.9
GEORGIA,34.6,36.5
HAWAII,35.3,112.3
IDAHO,30.7,73.4
ILLINOIS,37.1,106.8
INDIANA,28.9,75.9
IOWA,30.5,103.1
KANSAS,35.4,136.7
KENTUCKY,27,116.9
LOUISIANA,26.4,66.2
MAINE,36,71.2
MARYLAND,42.5,54.6
MASSACHUSETTS,46.6,107.1
MICHIGAN,31.7,64.1
MINNESOTA,38.9,146.3
MISSISSIPPI,24.8,100.5
MISSOURI,31.7,108.8
MONTANA,34.8,69
NEBRASKA,34.4,141.6
NEVADA,27.6,60.2
NEW HAMPSHIRE,40.2,71.9
NEW JERSEY,43.1,136.3
NEW MEXICO,30.1,83.9
NEW YORK,39.9,107.5
NORTH CAROLINA,34.9,70.9
NORTH DAKOTA,31.7,122.8
OHIO,30.7,158.8
OKLAHOMA,27.9,69.2
OREGON,36.3,102.5
PENNSYLVANIA,34.5,66.4
RHODE ISLAND,36.5,139.2
SOUTH CAROLINA,31.5,71.2
SOUTH DAKOTA,31.7,142.5
TENNESSEE,30.5,151.4
TEXAS,33.1,78.2
UTAH,36.8,29.5
VERMONT,44.4,88.5
VIRGINIA,41.8,61.5
WASHINGTON,39,146.8
WEST VIRGINIA,24.1,71.1
WISCONSIN,32.5,143.4
WYOMING,29.2,
